file_number,host_ip,host_port,slab_buf_bytes,slab_partition,bandwidth,file_size_bytes,time_taken_sec,overall_cpu
0,10.0.0.50,5202,1073741824,4,628.34 Mb,104857600.0,1.335053,
1,10.0.0.50,5202,1073741824,4,1132.68 Mb,104857600.0,0.740599,
2,10.0.0.50,5202,1073741824,4,957.21 Mb,104857600.0,0.876359,
3,10.0.0.50,5202,1073741824,4,605.93 Mb,104857600.0,1.384424,
4,10.0.0.50,5202,1073741824,4,1206.80 Mb,104857600.0,0.695110,
5,10.0.0.50,5202,1073741824,4,605.61 Mb,104857600.0,1.385154,
6,10.0.0.50,5202,1073741824,4,643.56 Mb,104857600.0,1.303472,
7,10.0.0.50,5202,1073741824,4,922.69 Mb,104857600.0,0.909151,
8,10.0.0.50,5202,1073741824,4,671.86 Mb,104857600.0,1.248562,
9,10.0.0.50,5202,1073741824,4,601.41 Mb,104857600.0,1.394818,
10,10.0.0.50,5202,1073741824,4,918.75 Mb,104857600.0,0.913050,
11,10.0.0.50,5202,1073741824,4,735.83 Mb,104857600.0,1.140023,
12,10.0.0.50,5202,1073741824,4,621.30 Mb,104857600.0,1.350163,
13,10.0.0.50,5202,1073741824,4,909.07 Mb,104857600.0,0.922768,
14,10.0.0.50,5202,1073741824,4,941.56 Mb,104857600.0,0.890924,
15,10.0.0.50,5202,1073741824,4,606.05 Mb,104857600.0,1.384154,
16,10.0.0.50,5202,1073741824,4,637.19 Mb,104857600.0,1.316509,
17,10.0.0.50,5202,1073741824,4,600.72 Mb,104857600.0,1.396426,
18,10.0.0.50,5202,1073741824,4,671.63 Mb,104857600.0,1.248992,
19,10.0.0.50,5202,1073741824,4,610.92 Mb,104857600.0,1.373119,
20,10.0.0.50,5202,1073741824,4,597.00 Mb,104857600.0,1.405121,
21,10.0.0.50,5202,1073741824,4,914.09 Mb,104857600.0,0.917704,
22,10.0.0.50,5202,1073741824,4,601.41 Mb,104857600.0,1.394823,
23,10.0.0.50,5202,1073741824,4,615.32 Mb,104857600.0,1.363286,
24,10.0.0.50,5202,1073741824,4,602.43 Mb,104857600.0,1.392471,
25,10.0.0.50,5202,1073741824,4,602.38 Mb,104857600.0,1.392589,
26,10.0.0.50,5202,1073741824,4,652.17 Mb,104857600.0,1.286263,
27,10.0.0.50,5202,1073741824,4,919.38 Mb,104857600.0,0.912420,
28,10.0.0.50,5202,1073741824,4,597.82 Mb,104857600.0,1.403193,
29,10.0.0.50,5202,1073741824,4,739.30 Mb,104857600.0,1.134664,
30,10.0.0.50,5202,1073741824,4,629.23 Mb,104857600.0,1.333150,
31,10.0.0.50,5202,1073741824,4,933.67 Mb,104857600.0,0.898451,
32,10.0.0.50,5202,1073741824,4,593.02 Mb,104857600.0,1.414551,
33,10.0.0.50,5202,1073741824,4,646.61 Mb,104857600.0,1.297316,
34,10.0.0.50,5202,1073741824,4,601.02 Mb,104857600.0,1.395735,
35,10.0.0.50,5202,1073741824,4,915.13 Mb,104857600.0,0.916660,
36,10.0.0.50,5202,1073741824,4,608.50 Mb,104857600.0,1.378568,
37,10.0.0.50,5202,1073741824,4,615.49 Mb,104857600.0,1.362923,
38,10.0.0.50,5202,1073741824,4,921.33 Mb,104857600.0,0.910489,
39,10.0.0.50,5202,1073741824,4,621.27 Mb,104857600.0,1.350245,
40,10.0.0.50,5202,1073741824,4,928.64 Mb,104857600.0,0.903318,
41,10.0.0.50,5202,1073741824,4,1166.48 Mb,104857600.0,0.719136,
42,10.0.0.50,5202,1073741824,4,951.36 Mb,104857600.0,0.881746,
43,10.0.0.50,5202,1073741824,4,599.31 Mb,104857600.0,1.399714,
44,10.0.0.50,5202,1073741824,4,605.59 Mb,104857600.0,1.385203,
45,10.0.0.50,5202,1073741824,4,919.72 Mb,104857600.0,0.912078,
46,10.0.0.50,5202,1073741824,4,1157.14 Mb,104857600.0,0.724942,
47,10.0.0.50,5202,1073741824,4,859.25 Mb,104857600.0,0.976271,
48,10.0.0.50,5202,1073741824,4,640.34 Mb,104857600.0,1.310033,
49,10.0.0.50,5202,1073741824,4,953.32 Mb,104857600.0,0.879935,
50,10.0.0.50,5202,1073741824,4,657.46 Mb,104857600.0,1.275920,
51,10.0.0.50,5202,1073741824,4,1169.99 Mb,104857600.0,0.716981,
52,10.0.0.50,5202,1073741824,4,596.92 Mb,104857600.0,1.405318,
53,10.0.0.50,5202,1073741824,4,609.55 Mb,104857600.0,1.376194,
54,10.0.0.50,5202,1073741824,4,1118.91 Mb,104857600.0,0.749712,
55,10.0.0.50,5202,1073741824,4,606.37 Mb,104857600.0,1.383424,
56,10.0.0.50,5202,1073741824,4,1217.25 Mb,104857600.0,0.689142,
57,10.0.0.50,5202,1073741824,4,616.34 Mb,104857600.0,1.361036,
58,10.0.0.50,5202,1073741824,4,657.62 Mb,104857600.0,1.275606,
